wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
5,2,2,3,10,0,2,2,5,0.252496344,177,0.144085121,6,0.77325097,0.457696782,1,1,19.68359281,1,0.8569,0
10,4,0,24,45,10,16,8,2,0.4234459,243,0.984104919,3,0.779152161,0.215269174,1,1,19.210180909,6,0.8652,0
20,4,0,7,42,122,0,7,16,0.942103192,228,0.44349694,0,0.728157211,0.408985,2,3,11.144694821,7,1.4095,0
12,1,0,2,25,20,8,0,10,0.288344327,158,1.0,2,0.281315958,0.282533501,1,0,13.314910408,2,0.9287,1
9,5,0,7,31,2,0,3,6,0.365682631,325,0.913551615,1,0.774131813,0.319785976,3,3,24.095682735,15,2.0447,0
13,3,0,5,23,23,0,7,7,0.979439862,155,0.947622084,0,0.577664484,0.726700003,0,0,20.460181487,0,1.4052,0
3,1,0,3,4,3,1,2,2,2.0,12,5.5678e-05,0,0.0,0.294743405,0,0,5.274377043,1,1.0245,0
7,3,0,8,27,12,1,6,10,1.160094715,105,1.0,2,0.84630008,0.294259943,1,1,14.947595768,2,0.8845,0
1,1,0,13,1,0,14,1,1,2.0,3,0.0,0,0.0,1.0,0,0,0.0,1,1.0,0
7,3,0,5,29,5,1,5,7,0.75,340,1.0,0,0.834658518,0.382461112,0,0,17.767689249,2,1.1315,0
2,3,0,1,3,1,1,0,2,2.0,21,0.0,0,0.946757775,0.757459033,1,1,2.525607134,1,0.5,0
0,1,0,2,0,0,0,0,0,2.0,20,0.0,0,9.004e-06,0.0,0,0,0.0,0,0.0,0
1,4,0,0,3,0,1,0,1,2.0,13,0.0,0,1.0,1.0,0,0,5.003021339,0,0.0,0
6,1,1,6,7,4,6,3,3,0.68279289,25,1.0,1,0.0,0.528349063,0,0,3.542658788,1,0.4723,0
11,5,0,7,45,36,1,7,6,0.727433359,488,0.982913584,2,0.785443143,0.333558633,1,5,31.90215378,9,2.5641,1
3,1,0,3,3,0,2,1,1,2.0,1,0.0,0,0.0,0.970900753,0,0,0.0,1,1.0,0
9,5,0,9,24,5,6,4,8,0.761090613,178,0.5,0,0.846568809,0.337126458,1,4,23.580402189,6,2.2215,0
31,3,2,16,82,282,3,4,28,0.909776079,260,0.953204746,3,0.180790826,0.173506283,0,0,12.505147084,2,1.2957,0
3,1,0,3,3,3,2,1,3,1.865340089,2,0.0,0,0.0,0.666666667,0,0,0.0,1,0.9796,0
7,3,0,4,20,6,1,4,6,0.973028423,212,1.0,1,0.953607131,0.618030706,0,0,25.395350908,6,0.7245,1
2,1,0,10,19,3,1,4,2,0.693553853,82,0.0,0,0.0,0.665805831,0,0,33.799482208,2,0.703,0
33,2,0,14,116,478,4,15,23,0.849305113,1382,0.727910427,5,0.647209664,0.20836332,1,9,35.247393942,25,3.0127,2
4,1,0,6,5,32,6,1,5,2.0,122,0.066016927,0,0.0,0.44218439,0,0,0.236753785,1,0.7367,1
7,1,0,23,5,3,25,0,2,2.0,3,0.0,0,0.0,0.528218275,0,0,0.102774487,1,1.0,0
6,3,0,7,46,7,5,8,10,0.918880452,186,0.98923473,1,0.847458002,0.256788662,0,0,8.559043065,1,0.9446,0
15,1,0,11,57,103,0,11,11,0.739514998,473,0.958526928,0,0.0,0.303310646,0,0,30.694026916,3,1.9193,0
4,4,0,5,8,3,2,5,3,0.135530046,46,0.86819592,0,0.961462543,0.676151225,1,1,10.305334563,4,1.0189,0
2,3,0,1,5,0,0,1,2,1.419345531,11,0.0,0,0.945985399,1.0,0,0,18.263464655,1,0.0088,0
19,1,2,9,31,390,4,11,7,0.762559638,190,1.0,2,0.094870621,0.230087922,1,0,4.958924599,2,1.361,0
9,4,0,4,40,0,3,4,12,0.716597444,234,1.0,0,0.928860435,0.460265791,2,2,19.44654346,4,1.2197,0
18,3,2,13,47,5,2,6,17,0.892543802,153,1.0,1,0.692582255,0.260995564,1,2,12.131637045,2,0.967,2
5,1,0,8,70,118,1,8,3,0.74157863,356,1.0,1,0.934523416,0.360551972,0,0,73.192844066,11,3.1926,4
6,1,0,11,7,3,9,1,4,0.333333333,30,1.0,1,0.0,0.571676663,0,0,10.251909963,2,1.0,0
5,4,0,5,17,13,0,6,5,0.872519198,110,0.327520535,0,0.971665609,0.535690961,2,1,19.702813219,1,1.025,0
7,4,0,4,18,0,0,2,8,0.521106315,162,0.995321126,0,0.864757534,0.394036365,1,1,11.468971248,1,0.8448,0
4,2,1,17,15,2,6,5,4,0.006020896,142,0.000947882,2,0.007926898,0.66644919,0,0,20.521177032,1,0.7046,0
3,1,0,1,5,1,1,6,3,0.5,1,1.0,0,0.0,0.663625271,0,0,3.506477955,1,0.8222,0
25,3,0,28,29,1,9,27,27,1.017295316,826,0.532465025,2,0.561355935,0.237439765,1,1,7.549875772,2,1.4607,0
