wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3,1,0,3,18,1,2,1,3,0.27729663,206,1.0,0,0.0,0.660336974,0,0,63.985665301,2,1.0149,0
4,1,1,5,4,5,5,5,5,0.326217883,85,0.998734413,0,0.926680204,0.932097762,0,0,13.596925027,1,0.7308,0
2,3,0,3,6,1,1,5,2,2.0,24,0.0,0,0.881032488,1.0,0,0,22.117013909,1,0.1979,0
4,1,0,5,11,0,3,2,5,0.711330409,70,0.979363097,1,0.0,0.586505829,0,0,12.022697113,1,0.8327,0
41,3,1,20,79,353,6,15,30,0.830984569,1096,0.990229553,2,0.511965823,0.231955825,0,0,16.726066493,11,1.7208,1
7,1,0,2,21,1,5,1,7,0.631937485,81,1.0,0,0.0,0.615556265,1,0,19.778665854,4,1.0672,0
13,3,0,1,37,7,1,4,14,0.754132075,385,0.990871575,1,0.174708287,0.277746422,1,2,29.802687042,2,1.1582,0
5,3,0,5,13,4,0,3,4,0.630633599,97,1.0,0,0.907228486,0.489076095,0,0,11.736985696,2,0.7185,0
13,4,0,25,24,10,6,19,16,0.703226793,319,0.949431502,0,0.548482301,0.104311913,1,3,27.457028853,3,2.3372,0
6,1,0,4,23,2,1,2,5,0.698193556,112,1.0,0,0.0,0.536294361,0,0,10.645560657,1,0.7841,0
10,3,0,2,20,9,0,3,10,0.593999795,131,1.0,0,0.88582834,0.416687972,1,1,14.646632723,1,0.8945,0
4,2,0,8,22,1,1,7,0,1.986857931,163,0.0,0,0.836985877,0.998959517,0,0,33.318096724,1,0.6667,0
4,3,0,4,17,30,0,5,6,0.444903658,110,0.464387071,0,0.856545541,0.767850445,1,1,12.973235516,4,1.7714,0
42,1,2,52,132,594,14,8,25,0.57740233,577,0.439375146,0,0.475403629,0.133554245,2,0,36.213491332,15,1.6773,0
8,3,2,19,56,46,2,4,4,0.736907943,462,0.99504408,4,0.83878893,0.445412322,1,7,55.379715706,9,2.5174,1
8,2,0,6,19,17,1,6,11,0.540994674,152,1.0,1,0.368914321,0.359049655,1,1,18.470092296,2,0.6661,0
8,1,0,2,11,10,3,0,12,0.702610816,110,0.0471028,0,0.162476068,0.516806357,0,0,20.273828924,8,1.4881,0
5,2,0,4,15,1,1,3,4,0.368034343,112,1.0,0,0.741731199,0.490386871,0,0,26.902383232,1,0.714,1
10,3,0,11,31,3,1,7,6,0.423096869,166,0.998756053,1,0.804527437,0.379092615,1,1,22.804003614,3,0.8652,0
9,3,0,13,80,56,9,17,7,0.950350229,671,0.317556988,0,0.70208471,0.287277607,2,2,29.968377747,2,0.963,0
2,5,0,1,7,0,1,3,2,0.261517383,81,1.0,0,0.904464765,0.681394397,0,0,4.280062982,1,0.607,1
2,2,0,6,14,1,1,5,2,2.0,44,0.0,0,0.970401993,1.0,0,0,14.803321935,1,0.5,0
6,3,0,7,28,2,4,4,5,0.846180546,258,0.517743103,0,0.896971415,0.261315968,0,0,40.168188128,1,0.8375,1
23,2,52,118,33,40,114,6,17,0.950296417,280,0.888017935,4,0.040938719,0.691994718,1,3,8.112411846,3,1.0936,0
12,1,0,11,21,33,16,2,5,0.843660304,358,0.978103509,1,0.0,0.288186942,0,0,39.782957631,1,2.0846,0
28,1,0,5,41,354,0,4,13,0.624125831,374,0.903351241,0,0.0,0.31885906,0,0,32.76178516,10,1.4147,0
4,3,0,8,17,0,0,3,4,0.322025459,149,1.0,0,0.924052692,0.479000425,1,1,50.584316876,1,0.83,0
4,1,0,9,13,1,1,4,7,0.670753061,56,1.0,1,0.0,0.490863072,0,0,3.497582394,2,1.5995,0
6,3,0,9,33,17,4,10,8,0.538339393,439,0.995736485,0,0.961933343,0.821238729,4,9,15.126454446,3,0.858,1
9,3,0,11,33,11,1,12,12,0.870986495,240,1.0,1,0.729796495,0.296036187,1,1,28.178424826,3,1.3274,0
11,3,0,13,40,16,0,11,10,0.69161634,288,1.0,2,0.836249336,0.28429114,1,1,26.608334815,3,1.9424,0
8,3,2,4,49,18,3,1,6,0.832173704,33,1.0,1,0.879927078,0.251330629,1,1,16.276747772,12,1.7858,0
18,4,0,11,95,178,1,7,15,0.679623047,709,1.0,0,0.599807763,0.189459579,1,3,42.203835222,2,1.1961,1
6,1,0,2,10,5,3,0,0,0.872163983,39,1.0,0,0.0,0.657190785,0,0,5.698906257,1,0.8587,0
7,5,0,5,20,0,1,4,5,0.509286924,104,1.0,0,0.836664021,0.435849307,2,5,45.874551877,4,1.1532,0
2,4,0,4,9,1,0,4,1,2.0,53,0.037645842,0,0.999135546,0.960706697,1,2,32.61916192,5,1.6096,0
1,1,0,2,1,63,0,0,0,2.0,2046,0.0,0,0.0,0.033378842,0,0,2040.832828033,1,0.0027,0
4,1,0,3,6,1,3,1,4,2.0,22,0.0,0,0.0,0.879230178,0,0,27.099820271,5,0.7584,0
8,1,1,0,11,16,1,3,7,1.939253866,19,0.0,0,0.0,0.399776101,0,0,62.606601303,8,0.9235,0
2,4,0,1,5,0,2,1,1,2.0,26,0.0,0,0.972396695,0.768315441,1,1,2.318737273,1,0.4924,0
3,5,1,6,14,3,5,2,2,2.0,65,0.0,0,0.969159202,0.541150406,1,1,21.858303748,1,1.6297,0
3,2,0,5,6,0,0,3,3,0.328499582,25,1.0,0,0.756093025,0.868694872,0,0,16.912724515,5,0.689,0
21,1,0,14,123,94,3,5,24,0.992817139,1521,0.8764969,1,0.694481559,0.182800035,3,3,50.98161195,30,2.3601,1
0,1,0,1,2,1,3,0,0,2.0,27,0.00697312,0,0.0,0.004742738,0,0,1.706216751,2,0.0051,0
6,1,0,6,10,0,4,0,7,0.328404264,16,1.0,0,0.0,0.848541687,1,0,19.214049778,2,0.9904,0
27,3,0,8,54,358,2,9,21,0.942034247,741,0.989755152,2,0.535321379,0.248678419,0,0,18.724894736,6,1.1506,1
26,2,1,22,58,197,2,12,6,0.919068159,900,0.993237576,2,0.148382231,0.226042018,0,0,30.684930469,13,1.744,0
7,3,0,9,30,15,1,3,8,0.702922643,136,1.0,0,0.759331425,0.309481458,1,1,15.797169341,3,1.3871,0
9,5,0,4,24,1,0,5,5,0.490400289,89,1.0,0,0.835032277,0.484212365,2,1,15.537051937,4,1.165,0
12,5,0,14,40,20,4,13,8,0.75378994,385,0.132522889,1,0.740510171,0.228318688,1,4,27.64494683,21,3.0274,0
7,5,0,7,27,0,4,4,6,0.561896113,266,0.002715503,0,0.84695532,0.393387984,2,5,20.232505414,8,1.1905,0
4,1,0,8,14,44,5,4,4,0.72800045,127,1.0,1,0.0,0.861836306,0,0,17.648449377,3,1.5759,0
16,1,0,6,47,73,13,11,20,0.680976676,687,0.974306319,3,0.0,0.321948984,0,0,34.967031365,9,2.5566,1
3,3,0,1,14,1,1,1,1,0.652581852,79,1.0,1,0.849995314,0.672884065,1,1,20.3339342,1,0.8291,0
2,3,0,4,7,1,1,3,2,2.0,18,0.0,0,0.97497067,0.959474139,0,0,11.154762512,1,0.568,0
23,2,4,7,36,226,8,19,17,0.741455369,196,0.90219295,0,0.292816284,0.333732232,1,2,27.497128079,1,0.7229,0
0,1,0,4,0,1,3,2,0,2.0,2,0.0,0,0.0,0.023735569,0,0,0.352692372,0,0.002,0
11,3,0,9,33,7,0,10,6,0.733194431,89,0.481196113,0,0.891580659,0.878169914,4,9,14.732843377,1,1.0251,1
9,2,0,11,21,14,11,2,11,0.773814333,81,1.0,3,0.169943668,0.187615099,0,0,7.975814565,1,0.7282,0
1,4,0,0,2,1,0,1,2,1.963656627,19,0.0,0,0.986451359,0.713985096,1,1,2.142105866,1,0.4231,0
12,1,0,12,21,24,8,5,8,0.645764197,83,1.0,0,0.010456609,0.556609713,0,0,27.994433217,1,1.0692,0
40,3,0,19,70,664,0,13,13,0.97630579,626,0.366027076,2,0.647133093,0.192022347,1,3,20.074139738,2,1.0764,1
2,1,0,7,13,1,1,0,2,0.815490487,106,0.924097665,0,0.0,0.555989667,0,0,30.297657144,5,1.7447,0
8,5,0,11,41,0,3,5,7,0.783684828,356,0.544648268,0,0.584645397,0.330946477,1,1,29.324881414,5,2.2686,0
9,3,1,7,46,15,3,4,15,0.761400856,482,0.98249683,0,0.918217011,0.38924987,2,2,14.159474703,5,1.4578,1
8,3,0,9,35,0,4,12,7,0.621975017,145,1.0,1,0.824789475,0.395753627,0,4,16.649834167,1,1.4355,0
0,1,0,2,1,1,5,1,0,2.0,8,0.0,0,0.00149074,0.028111769,0,0,0.0,2,0.0,0
12,5,0,6,18,1,1,3,6,0.534412298,344,1.0,0,0.78590404,0.451661068,2,5,22.516945778,4,1.099,0
30,2,0,27,88,217,30,22,25,0.933810505,1295,0.377080101,0,0.032281573,0.267705459,0,0,47.598968689,16,1.8585,1
3,2,0,2,26,2,0,4,1,1.418275618,204,0.937923862,0,0.973450964,0.979898025,2,3,49.537715847,12,4.4153,0
16,4,0,16,44,70,0,17,12,0.854081536,697,1.0,2,0.681703802,0.244637668,3,4,28.605632224,13,2.5879,0
29,1,0,31,72,411,25,11,25,0.925939105,1366,0.82596717,0,0.507992059,0.180411301,0,0,34.110053386,15,1.5639,0
7,3,0,9,36,13,0,8,4,0.659708193,159,1.0,0,0.921472727,0.436905818,4,9,19.701867395,2,1.0,1
2,3,0,4,7,1,1,3,2,2.0,25,0.0,0,0.966116126,0.96754921,0,0,13.319624924,1,0.0195,0
23,1,0,30,85,136,12,25,16,0.759807137,697,0.944638662,6,0.460481996,0.156323971,1,3,49.720932947,10,2.8772,0
9,3,0,9,34,11,1,9,4,0.735143786,220,0.973698962,1,0.811232318,0.394318367,4,1,13.694715167,2,0.9777,1
6,3,0,4,20,19,5,8,6,0.772611163,121,0.995792109,2,0.883167688,0.681637486,0,0,10.761855386,4,0.8509,0
16,3,0,10,72,11,0,17,7,0.603478772,234,0.974900991,0,0.587905666,0.364031615,1,1,23.653034763,4,1.3642,0
6,3,0,7,21,1,0,7,10,0.681035148,143,1.0,0,0.853523863,0.31884046,1,1,8.442723219,1,1.4282,0
3,2,0,6,7,1,1,1,3,0.0,29,1.0,0,0.880951004,0.538246411,0,0,10.523340057,1,0.6614,0
13,2,0,5,12,44,6,2,9,0.466519843,172,0.07200062,0,0.665710747,0.431836408,0,0,14.885391696,1,0.7452,1
4,1,0,6,23,32,0,4,7,0.490208803,101,0.994511532,1,0.006236932,0.338183048,0,0,22.606929673,5,1.7167,0
12,2,0,3,37,78,1,2,12,0.635732935,564,1.0,2,0.570597361,0.238489409,1,8,30.221995211,1,0.8548,0
10,3,0,5,24,41,0,2,9,0.591280135,165,0.996669029,0,0.430447205,0.56453574,1,1,9.930430528,0,0.8534,0
23,1,0,194,23,2,122,2,14,0.468037691,154,0.891912002,2,0.630974422,0.396591341,1,2,9.635685037,1,0.9296,0
8,1,0,4,28,5,1,2,6,0.788282126,380,0.524065323,0,0.0,0.172741888,0,0,20.324594255,4,1.0414,0
25,1,0,18,79,361,1,7,16,0.726896749,424,0.98608663,4,0.592151675,0.311005571,0,0,23.400441875,7,1.4158,0
8,3,0,7,31,6,2,7,4,0.670595779,309,1.0,0,0.73101378,0.273855824,2,10,16.783997252,4,1.3205,0
7,5,0,9,29,9,4,5,7,0.69737098,172,0.488241509,0,0.863887006,0.360807017,1,4,32.361216391,9,2.6521,0
21,4,0,20,56,20,0,11,18,0.673358893,579,0.981640792,0,0.754138006,0.2530595,3,4,15.863375225,17,1.9164,0
8,4,0,10,24,4,0,3,2,1.970715893,36,0.019869539,0,0.962237528,0.727973858,3,8,33.251894998,4,1.3116,0
6,3,0,4,15,5,0,5,5,0.73106767,96,0.924540833,0,0.84292161,0.518834354,0,0,13.09963932,0,0.8177,0
2,3,0,1,13,1,0,3,2,0.518123687,104,0.922934072,0,0.981618291,0.75,1,1,26.913158996,1,0.7717,0
9,1,2,4,19,0,1,3,9,0.604338566,116,1.0,0,0.88487,0.612895995,0,0,13.004450814,1,0.7362,1
28,1,0,47,86,261,30,21,26,0.678485332,575,0.446247122,0,0.619770483,0.116272765,0,5,34.997441318,16,2.5183,0
4,5,0,9,15,0,4,2,5,0.7694154,75,0.052231335,0,0.905552885,0.483005932,1,1,17.689468611,5,0.7231,0
7,3,0,13,25,1,4,9,6,0.437125671,205,1.0,0,0.796503538,0.413353311,1,3,19.343773543,5,2.1768,0
3,1,0,1,4,4,2,2,3,1.520022507,4,0.0,0,3.99e-07,0.665095745,0,0,0.0,1,1.0,0
8,3,0,7,36,0,0,15,6,0.667648003,109,0.997797725,0,0.82425629,0.11288347,2,2,36.274031309,1,0.877,0
15,1,3,13,41,63,7,3,14,0.793754839,334,0.836820123,0,0.0,0.179831343,0,0,17.592995032,9,1.6087,0
4,2,0,8,16,3,1,7,1,0.94680628,27,0.018660393,0,0.86864616,0.590378865,0,0,17.455905244,1,0.5926,0
8,1,0,10,48,11,3,6,10,0.694978809,322,0.025266768,3,0.0,0.141852386,0,0,32.360461558,7,1.8584,0
6,3,0,5,33,0,0,5,4,0.65111165,92,0.941726966,0,0.939714654,0.567479268,0,0,33.987576483,1,1.0339,0
1,1,0,5,1,1,3,2,2,2.0,0,0.001096451,0,0.014791301,1.0,0,0,0.0,1,1.0006,0
28,3,1,8,87,228,1,9,9,0.94550438,699,0.961590282,2,0.56089829,0.230222449,2,0,21.187882969,7,1.1681,0
7,1,0,4,11,3,2,2,9,0.639843364,75,1.0,0,0.0,0.729725488,0,0,7.135952383,1,0.7802,0
18,3,0,14,54,148,7,12,14,0.857028975,749,0.951679223,0,0.662106082,0.285457912,2,0,43.92168564,14,3.4628,0
5,2,0,10,21,8,1,10,2,1.089696821,235,0.0,0,0.804823303,0.310480942,0,0,42.804536607,1,0.6693,0
16,1,1,5,9,3,7,2,4,0.734303833,58,0.983101747,0,0.0,0.523171761,0,0,36.105475943,1,0.4982,0
11,5,0,9,38,0,1,13,7,0.729928335,248,0.97198406,0,0.861319836,0.329493317,2,5,20.209866775,3,1.1813,0
14,1,0,6,7,7,5,1,14,1.884442583,16,0.0,0,0.0,0.546296107,0,0,0.0,1,1.0,0
2,3,0,3,8,1,0,3,2,1.969516971,26,0.0,0,0.964478179,0.75,0,0,13.299611394,2,0.9946,0
33,1,0,6,72,263,7,1,31,0.754840508,849,0.859462455,0,0.619557813,0.134255213,1,0,22.346973273,5,1.2822,0
3,1,0,3,21,7,1,1,3,0.239412032,195,1.0,0,0.015026837,0.478517703,0,0,65.315831381,3,0.9576,0
16,4,0,10,48,82,2,9,17,0.871217536,1189,0.895030819,2,0.664245603,0.248669235,2,2,67.012309308,2,1.0286,0
5,1,0,0,11,0,1,2,6,0.695863701,69,1.0,0,0.0,0.558143533,0,0,9.88532904,1,0.8373,0
10,1,0,14,17,16,0,0,5,0.655118017,189,0.122652233,0,0.006444777,0.744337306,0,0,23.323783244,1,0.9112,0
30,3,0,19,78,217,2,9,10,0.866171661,868,0.972325328,2,0.599415854,0.205566489,0,0,15.645561061,3,0.9508,1
16,2,0,8,63,205,2,5,16,0.826411645,337,0.979804721,0,0.691577818,0.16391154,0,2,24.646621779,6,1.9664,0
6,1,0,5,7,15,4,1,6,2.0,5,0.008154816,0,0.0,0.423315112,0,0,1.884184891,1,0.9899,0
1,5,0,2,2,0,1,1,3,2.0,22,0.308702586,0,0.949261643,0.802308037,1,0,9.277795409,1,0.0355,0
5,1,0,4,16,4,2,1,4,0.291233772,138,1.0,0,0.276339585,0.629868893,0,0,65.658295722,2,1.0192,0
21,4,0,11,68,43,0,11,19,0.711637143,746,0.990768496,0,0.7778156,0.30792207,3,4,35.969822441,15,2.2397,0
11,2,0,13,21,1,8,4,11,0.658274426,118,0.875966557,0,0.20719731,0.215827002,0,0,10.526958118,1,0.8916,0
2,4,0,9,12,1,1,6,1,2.0,66,0.003005563,0,0.960078324,1.0,1,2,21.875898647,4,0.4612,0
5,3,0,7,19,1,1,7,11,1.056646989,165,1.0,0,0.389911655,0.552374916,0,0,54.474337752,1,0.7755,0
9,3,0,5,16,14,1,3,4,0.68227112,90,0.99971125,0,0.798868009,0.512749174,1,1,8.394199562,1,0.8406,0
4,3,0,4,20,0,1,3,5,0.06300354,132,0.944098613,0,0.974615928,0.629940914,0,0,47.025399565,1,0.6972,0
4,1,0,1,3,6,1,0,1,1.560720425,4,0.056091176,0,0.0,0.726880141,0,0,3.626513408,4,1.0055,0
4,4,9,12,8,1,9,3,4,0.629184077,26,1.0,1,0.934429066,0.490273235,0,0,3.199857273,1,0.7834,0
11,3,0,7,38,22,1,4,7,0.906903593,349,1.0,0,0.800286761,0.490070102,0,0,35.054373044,1,1.1477,0
6,1,1,28,9,4,2,2,5,0.11380315,51,1.0,0,0.0,0.615886551,0,0,17.358251884,1,1.7877,0
5,1,0,11,18,14,11,0,9,2.0,14,0.0,0,0.336772127,0.389082946,1,0,19.464813274,1,0.7933,0
17,1,0,2,29,42,1,2,5,0.8306514,478,0.073930313,0,0.0,0.217252812,0,0,16.968883364,5,1.2982,0
24,3,1,18,97,208,0,16,18,0.875908461,912,0.994689943,4,0.654781003,0.20882604,3,7,45.158455085,3,1.5396,0
3,3,0,3,33,1,5,2,2,0.021876853,122,0.985852315,0,0.128015999,0.739564778,0,0,6.179150356,1,1.7644,0
79,3,1,25,97,394,6,15,31,0.840551435,908,0.975470134,2,0.552882065,0.150079571,4,4,48.104870097,9,1.0148,2
4,1,0,6,4,6,3,4,4,1.983755683,5,0.002129123,0,0.0,0.617443952,0,0,10.991710901,1,1.0222,0
6,1,0,1,14,3,2,1,8,0.574723704,18,1.0,0,0.019765405,0.66801974,0,0,4.13498037,3,0.735,0
10,3,0,9,32,13,5,1,11,0.686419223,272,1.0,0,0.749057396,0.311263721,1,1,20.99297553,3,1.8445,0
5,3,0,5,21,17,2,5,4,0.71565775,79,1.0,0,0.900756958,0.405792199,0,0,9.842442647,1,0.6181,0
3,5,1,4,39,3,5,3,3,1.97876093,52,0.0,0,0.90667434,0.432927351,1,1,13.667256442,3,1.6726,0
4,2,0,5,16,0,0,5,3,0.310328978,27,1.0,0,0.818149173,0.66486388,0,0,16.318419367,1,0.7493,0
93,3,0,10,71,359,1,17,31,0.912492223,1026,0.987219539,3,0.544862049,0.1918264,0,0,21.262691119,5,1.3836,1
1,4,0,1,3,1,1,0,1,1.981079214,5,0.0,0,0.617947429,0.940408219,0,0,4.010907376,0,0.0256,0
3,2,0,11,24,4,1,7,2,0.95195587,97,0.259206721,0,0.921343362,0.5,0,0,56.040379415,1,0.5835,1
2,2,0,1,9,1,1,3,2,2.0,33,0.0,0,0.855713145,0.990698599,0,0,14.66040428,1,0.5,0
2,2,0,5,10,1,5,5,2,2.0,33,0.015334504,0,0.930137959,1.0,0,0,18.602599508,1,0.5,0
8,3,0,5,20,2,4,9,8,0.717577783,210,0.489168723,0,0.848189244,0.271327926,1,1,33.118517013,2,1.9447,1
20,2,0,12,42,25,12,5,11,0.705964181,362,1.0,2,0.133249464,0.317537287,0,0,12.70956267,1,1.6316,0
2,1,0,3,4,3,3,1,6,1.998216938,30,0.0,0,0.008580772,0.507275356,0,0,0.154032333,1,1.0,0
21,3,0,13,63,120,10,8,15,0.857679304,497,0.990009382,0,0.597344213,0.260856503,0,1,24.530235725,29,2.3679,0
3,2,0,5,14,3,4,8,2,2.0,58,0.0,0,0.976851947,0.967261089,1,2,66.428865496,4,2.1162,0
3,3,0,5,22,0,1,5,6,0.148241895,193,0.621132267,0,0.879674822,0.640550984,0,0,47.602445079,1,1.0695,0
22,1,0,3,48,132,15,4,15,0.861367156,534,0.997935824,2,0.0,0.5374172,0,0,22.567947764,2,1.8014,0
5,1,0,4,11,4,0,2,5,0.669342481,69,1.0,0,0.100822161,0.491279709,0,0,7.19317149,1,0.852,0
4,1,0,5,4,3,4,1,4,2.0,4,0.011888104,0,0.011808064,0.49487089,0,0,11.923366715,2,0.9938,0
7,5,0,7,25,0,4,4,7,0.654400277,260,0.022841384,0,0.85436153,0.35054318,2,5,37.388497574,8,2.9707,0
4,3,0,7,20,0,1,7,2,0.161729038,137,0.961312441,0,0.926719529,0.619743205,0,0,21.90739782,2,0.914,0
15,1,10,3,7,29,1,3,6,0.735360037,29,1.0,1,0.037772128,0.593171991,0,0,12.891220094,4,0.8463,0
7,3,0,7,34,1,0,7,14,0.693199986,403,0.924727887,0,0.73398979,0.320324685,0,0,37.110626814,1,0.7483,0
2,2,0,5,6,0,3,3,14,0.11558774,236,0.930239321,1,0.451545422,0.672053921,1,1,26.902144075,1,0.5679,0
12,1,0,4,38,43,3,2,6,1.025778371,763,0.798153191,1,0.0,0.30034582,0,0,25.040727527,3,0.8563,0
6,1,0,6,14,0,6,1,7,0.0,103,1.0,1,0.666676205,0.429358628,1,1,11.56368148,1,1.0075,0
20,3,0,11,89,133,1,13,17,0.824132298,636,1.0,0,0.591506803,0.2571915,3,1,33.575428034,22,3.0318,0
6,1,0,4,20,15,5,1,4,1.021157161,185,0.47563975,0,0.0,0.271026185,0,0,27.19683688,2,0.974,0
24,3,0,10,43,21,2,7,12,0.958108928,453,0.992572892,4,0.645925513,0.273354948,1,1,33.580400319,24,1.1637,0
15,5,4,15,22,15,2,3,9,0.710177108,324,1.0,1,0.694556358,0.254706117,1,1,24.440996459,2,1.507,0
7,4,0,8,13,0,2,1,7,0.0,110,1.0,0,0.161944303,0.342065588,1,1,11.449794822,4,0.8344,0
7,3,0,4,16,18,0,4,5,0.721799963,104,0.989668011,0,0.778713576,0.554417244,0,0,21.81861907,4,0.8089,0
22,1,0,19,49,122,16,9,19,0.858026784,360,0.939939082,1,0.0,0.291983217,0,0,19.642195964,9,1.9598,0
42,2,0,9,75,859,24,8,43,0.731369118,1364,0.967910979,0,0.473643481,0.212732274,1,5,36.160193275,13,1.4096,0
10,3,0,13,34,0,0,10,10,0.802658672,284,1.0,1,0.766815158,0.472689625,1,1,14.422654551,2,1.4163,0
3,2,0,8,20,3,1,7,2,0.967276788,137,0.000844134,0,0.984722554,0.5,0,0,49.327769161,1,0.674,0
24,1,0,5,54,23,1,4,3,0.70307415,289,0.999462218,0,0.576923491,0.745497047,0,0,21.515688577,4,1.0459,0
29,1,0,45,97,265,30,13,23,0.691983718,1052,0.51383715,0,0.039235898,0.146758263,0,5,21.016726693,16,1.8334,1
3,3,1,5,12,3,5,2,2,2.0,39,0.0,0,0.96717976,0.576464377,1,1,18.303123105,3,1.7902,0
