wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
5,2,0,8,9,1,7,4,3,0.661934586,34,1.0,0,0.901707898,0.574958196,1,1,7.758833659,2,0.8651,0
4,3,0,5,8,6,2,7,4,1.943719257,26,0.0,0,0.984496573,0.500961743,1,2,4.96589278,1,0.7612,4
6,4,0,5,17,7,1,5,9,0.543204824,97,1.0,0,0.404589053,0.388036376,1,2,17.070332826,1,0.9678,0
24,1,0,10,43,185,1,9,17,2.0,512,0.569874498,0,0.012080442,0.28071617,0,0,13.274630403,7,1.5013,5
12,3,2,11,27,49,0,7,4,0.607479097,259,0.792073624,3,0.197185583,0.274858399,1,1,9.677661059,2,1.0309,1
2,1,0,4,4,1,1,3,2,1.959436066,9,0.0,0,0.007235297,0.757938724,0,0,3.555747356,1,0.5,0
6,4,0,4,16,5,1,5,2,0.527130957,101,1.0,0,0.829444522,0.358352076,1,2,15.994442125,1,0.8078,0
14,1,1,12,24,4,1,15,1,0.80583944,201,0.982505887,2,0.000657524,0.323058969,0,0,12.362967337,3,2.046,0
14,2,0,13,32,93,1,15,12,0.921564655,205,0.986867459,2,0.526004886,0.20742882,1,1,8.096391155,2,1.1432,0
6,3,0,9,40,20,1,8,2,0.400679545,187,1.0,0,0.529021638,0.453836777,0,0,30.615600723,5,1.3742,4
2,1,0,7,2,1,2,2,2,1.979329242,2,0.0,0,0.045518801,0.606678023,0,0,0.0,1,0.9998,1
1,1,0,0,1,0,0,0,1,2.0,1,0.0,0,5.3308e-05,0.999089008,0,0,0.0,1,1.0,0
3,2,0,1,5,3,0,1,3,1.986148343,12,3.8526e-05,0,0.931690977,0.666666667,1,2,3.0,1,0.3445,1
9,1,0,3,10,2,2,2,7,0.635980133,44,1.0,0,0.0,0.355958355,0,0,6.916651509,1,1.1785,0
3,4,0,6,15,1,1,8,1,2.0,41,0.0,0,0.958624095,0.666587899,1,2,20.404738498,1,0.5057,0
15,1,0,21,49,61,2,23,11,0.812173071,210,1.0,0,0.0,0.176050781,0,0,6.321407695,2,1.0,0
6,6,0,12,32,39,1,13,3,0.507403306,116,0.986230134,1,0.869783116,0.328528362,0,0,6.145936651,1,0.8138,0
1,1,0,3,1,1,2,2,1,2.0,1,0.0,0,0.11305095,1.0,0,0,0.0,1,0.999,1
2,1,0,4,4,10,2,0,1,2.0,2,0.000268234,0,0.0,1.0,0,0,4.3976e-05,1,1.0,1
6,0,2,17,46,7,2,14,4,0.784062692,175,0.441848144,0,0.841755071,0.503979991,0,0,23.072115248,1,0.6605,0
2,1,0,3,3,1,1,2,2,1.924155868,7,0.0,0,0.0,0.658514623,0,0,2.608827673,1,0.502,1
9,1,0,6,20,31,2,3,9,0.087328861,125,0.951732252,1,0.0,0.336864393,0,0,7.117314737,3,1.286,0
9,1,0,4,33,4,0,4,12,0.714396164,117,1.0,1,0.0,0.35078521,0,0,8.016169629,1,0.7956,0
9,3,0,12,32,1,1,13,5,0.718570896,113,0.974091906,2,0.780155713,0.312152453,0,0,12.459741499,2,0.841,0
5,1,2,4,9,30,0,3,5,0.011411481,33,1.0,0,0.0,0.595354951,0,0,9.277737458,1,1.0,1
23,2,0,15,48,259,12,10,18,0.917200548,188,0.999866151,1,0.684582823,0.222199908,1,2,6.519315175,1,0.8892,0
3,1,0,4,10,3,0,2,2,2.0,127,0.098007433,0,0.742256694,0.339739933,0,0,121.358040034,1,0.4891,0
44,1,0,23,88,667,9,15,34,0.870595771,421,0.778777052,1,0.295864641,0.105270019,0,0,9.056747876,4,1.3461,7
4,1,0,36,3,2,29,5,4,2.0,50,0.000153968,0,0.0,0.47074473,0,0,0.0,1,1.0,0
2,1,0,8,2,10,5,4,2,2.0,54,0.0,0,0.010887705,0.549908852,0,0,0.0,1,1.3778,4
26,1,0,8,36,221,2,3,22,0.828354833,182,1.0,0,0.024540098,0.143510122,0,0,7.115416836,2,1.2362,0
14,5,0,6,49,40,1,5,10,0.708509611,338,1.0,1,0.749585727,0.366945389,1,4,17.4163737,1,1.2645,0
2,1,0,3,6,1,3,2,3,0.383044248,33,0.031813044,0,2.1503e-05,0.644529786,0,0,8.829192495,2,1.0,0
13,3,0,10,30,67,1,5,10,0.636218505,261,0.859180995,1,0.727039842,0.224614316,1,1,15.996140904,3,1.0068,0
22,1,0,15,40,243,12,6,26,0.886564833,243,1.0,0,0.326186885,0.310297798,0,0,6.302645998,2,1.1327,0
1,1,0,1,12,3,1,0,4,0.257871683,57,1.0,0,0.0,0.494017035,0,0,13.044700196,1,0.7478,0
4,2,15,49,8,6,9,4,4,0.07492318,22,1.0,0,1.0,0.543750787,0,0,3.848553645,2,0.6812,1
12,2,0,21,47,43,2,10,7,0.806194741,190,0.84796539,2,0.503493118,0.217944759,1,1,19.58604707,12,1.1035,0
4,3,0,9,27,2,2,9,2,0.018243045,134,1.0,9,0.899168083,0.446728383,1,1,43.889750701,1,0.8142,0
18,2,0,9,21,134,4,8,15,0.77463157,94,0.994250838,1,0.670397158,0.260157863,1,3,4.641421037,1,0.9005,0
2,5,0,3,5,0,1,3,2,0.0,32,1.0,1,0.9938411,0.74126363,0,0,10.954317765,1,0.5,1
5,0,0,9,21,20,1,8,4,2.0,130,0.0,0,0.0,0.374352881,0,0,22.28224857,9,2.8066,0
10,2,0,11,38,7,1,10,5,0.584713589,98,0.997339962,2,0.449323232,0.166127093,1,1,8.323529508,5,0.907,0
1,2,0,5,2,1,3,2,3,2.0,12,0.0,0,0.963043733,1.0,0,0,10.746412607,0,0.0,0
30,1,0,7,31,5,4,1,22,0.845047056,162,0.700218549,1,0.0,0.134452475,0,0,8.448222801,4,0.9383,6
4,1,0,0,8,6,1,2,5,0.583991228,21,0.431335796,0,0.009104119,0.581424838,0,0,3.677643532,1,0.667,1
2,1,0,10,11,1,1,6,2,0.204350822,48,0.80486436,1,0.0,0.574439033,0,0,18.934502312,2,0.4715,1
2,1,0,3,2,1,1,0,2,2.0,2,0.004246518,0,0.0,0.99241856,0,0,0.012731815,1,1.0,1
9,1,2,14,19,28,4,7,4,0.824497645,70,0.353825797,3,0.0,0.209814518,0,0,10.656614323,1,1.0,0
2,1,0,4,9,3,1,6,2,2.0,20,0.0,0,0.0,0.75,0,0,11.011356065,1,0.5,0
13,2,0,14,19,11,6,9,8,0.607890555,121,1.0,1,0.929689605,0.303439453,1,5,4.517791402,2,0.7798,0
3,2,0,1,5,3,0,1,3,2.0,13,0.0,0,0.923076923,0.666666667,1,2,2.657688435,1,0.3343,2
4,3,0,8,7,0,5,4,1,0.067106149,81,1.0,1,0.922643087,0.48053999,1,1,6.164287967,1,0.7252,0
27,2,0,14,67,254,1,16,20,0.754037638,208,1.0,0,0.185033428,0.122531316,0,0,11.185490893,3,1.0275,5
9,3,0,9,16,3,0,4,9,0.213569204,50,1.0,0,0.897651912,0.591185156,2,5,10.620989045,1,0.8246,1
7,5,0,4,18,8,1,13,5,0.666666667,48,1.0,2,0.421884143,0.315173361,1,2,10.542456295,2,0.9972,0
3,1,0,8,7,1,5,6,8,0.012626633,51,1.0,0,0.013846821,0.991876421,0,0,6.254492352,1,0.8796,0
6,3,0,7,16,3,2,6,6,2.0,31,0.0,0,0.891713977,0.493011438,2,3,6.662222196,1,0.3333,2
10,1,0,6,18,66,1,3,14,0.563701927,69,0.926668531,0,0.0,0.401985315,0,0,6.904420942,0,0.767,0
8,2,0,1,5,7,0,2,3,0.74974398,30,1.0,0,0.775191884,0.452953897,1,1,3.0,1,0.8017,0
2,4,0,5,6,0,5,0,2,0.953312206,31,1.0,2,0.86541741,0.759999262,0,0,8.277916859,1,0.5051,0
2,1,0,6,5,1,1,4,3,2.0,37,0.0,0,0.0,0.642327328,0,0,25.031518341,3,1.5,1
0,1,0,2,0,0,1,1,0,1.999995865,0,0.0,0,0.0,0.0,0,0,0.0,0,0.1568,0
5,3,0,9,14,5,2,6,4,2.0,29,0.0,0,0.959721974,0.39178952,1,1,6.447509888,1,0.8417,0
28,1,0,20,45,406,1,17,28,1.016392207,249,0.998133516,2,0.231939638,0.142760145,0,0,7.945000523,2,0.983,0
15,1,0,22,46,169,14,17,15,1.85675127,162,0.0,2,0.004986689,0.162654545,0,0,16.485898614,10,0.9455,0
5,1,3,3,12,2,3,1,3,0.276939915,24,0.954135565,0,0.0,0.996303546,0,0,3.297580628,1,0.8051,0
10,1,2,11,24,29,4,0,6,0.446526813,104,1.0,0,0.0,0.267907595,0,0,8.924882719,2,0.9898,0
17,2,0,15,53,100,2,15,8,0.915448596,510,0.75593117,2,0.418799705,0.328416214,1,5,27.858223553,8,1.8094,0
9,1,0,6,18,25,1,6,9,0.740714826,81,1.0,1,0.0,0.348748781,0,0,7.457713448,1,0.9561,0
22,1,0,3,44,230,10,2,22,0.766782132,199,1.0,0,0.0,0.30956669,0,0,7.96518559,0,0.9832,1
3,3,0,5,25,12,1,11,1,0.014993729,66,1.0,0,0.895027819,0.500447675,1,1,11.244729295,2,1.0,0
3,5,0,2,6,0,1,1,1,1.701195264,5,0.952964987,0,0.992973716,0.980937488,0,0,10.237105042,0,0.0,0
2,1,0,6,4,0,1,3,2,2.0,1,0.0,0,8.49e-06,1.0,0,0,3.555706508,1,1.0114,1
2,1,0,2,2,1,5,3,3,2.0,1,0.0,0,1.2975e-05,0.771724405,0,0,0.0,1,1.0464,2
17,2,0,10,46,96,3,8,22,1.022072509,208,0.991923764,1,0.731765042,0.22163224,1,1,11.233003904,7,0.9929,7
3,3,0,2,7,0,1,6,1,0.273437273,41,0.954524101,1,0.875254944,0.623081845,0,0,7.208103332,1,0.7905,2
15,0,2,19,59,43,2,17,8,0.775198245,253,0.995941134,1,0.0,0.4175413,1,1,19.624996039,10,0.9247,9
47,1,0,6,81,850,4,7,37,0.831291377,721,0.891676097,0,0.0,0.250977373,0,0,16.716945097,1,1.0065,3
8,1,0,10,28,38,5,11,8,0.645965631,105,1.0,0,0.0,0.312678634,0,0,10.383813129,1,1.138,0
4,2,0,4,11,0,1,2,4,0.289766321,25,0.999701831,2,0.873285058,0.755098357,1,1,6.710677712,1,0.4922,0
3,3,2,9,7,3,2,7,1,1.978621936,35,0.010734902,0,0.953400237,0.995344592,0,0,4.109056747,0,0.4175,0
10,3,0,10,25,26,0,8,11,0.491689006,132,1.0,2,0.936707235,0.432345498,1,2,9.027737285,2,0.8805,7
19,2,0,17,31,126,1,17,14,0.66004558,121,1.0,2,0.562706401,0.156772928,1,1,7.823746659,2,1.0487,0
1,1,11,2,1,8098,1,1,1,2.0,6,0.045854675,0,0.002234421,1.0,0,0,0.0,1,0.9994,1
23,3,0,8,33,0,3,6,8,0.737547405,378,0.99798156,1,0.775213794,0.401918516,2,6,17.860358055,1,0.9588,0
6,0,0,5,15,23,1,4,1,0.826472942,232,1.0,3,0.008748601,0.33127852,0,0,56.242999834,1,2.2179,0
21,1,0,0,21,175,1,1,9,1.962731179,67,0.0,0,0.0,0.534157244,0,0,0.887515357,1,0.878,0
3,3,0,7,10,7,2,7,1,1.76058024,26,0.0,0,0.942748331,0.445999562,0,0,8.329307236,1,0.4622,7
2,3,0,4,4,1,0,4,1,2.0,10,0.0,0,0.971428425,0.666666667,1,1,4.277138551,1,0.5073,0
2,2,0,4,5,1,1,6,3,2.0,24,0.016003184,0,0.513871101,0.666666667,1,1,1.832988597,1,0.5339,3
4,1,3,4,12,0,1,0,4,0.333333333,55,1.0,0,0.0,0.491364378,0,0,7.472305404,2,1.0117,0
5,2,0,9,13,2,3,7,2,0.300518404,64,1.0,0,0.912280248,0.437326157,1,1,9.381465998,1,0.7914,0
9,1,0,20,25,73,1,12,9,0.800058609,147,0.984250466,0,0.0,0.257929058,0,0,14.965580514,2,1.1132,9
15,1,0,1,16,65,1,2,11,0.943953566,84,1.0,0,0.00936123,0.469260092,0,0,7.921054499,1,0.75,1
