wmc,dit,noc,cbo,rfc,lcom,ca,ce,npm,lcom3,loc,dam,moa,mfa,cam,ic,cbm,amc,max_cc,avg_cc,bug
3,3,0,2,18,0,1,1,3,1.993175921,65,0.005884006,0,0.902261579,0.784190699,2,2,7.344824396,7,3.614,0
6,2,0,11,5,4,1,7,1,0.582340193,101,0.921761011,1,0.843531205,0.430244845,1,1,17.505696135,3,1.5794,4
26,1,0,28,77,229,28,35,26,0.896379857,982,0.977070847,2,0.048382008,0.333901481,0,0,23.169612096,8,1.6476,0
11,2,0,14,49,13,2,14,10,0.854508741,459,0.618567775,1,0.524333876,0.260357354,0,0,31.352673712,28,3.5271,0
3,1,0,4,8,1,0,3,2,0.719783295,23,0.717289756,1,0.0,0.5,0,0,5.009165229,2,0.675,0
3,2,0,12,31,3,0,13,3,2.0,145,0.0,0,0.75,0.555555556,0,0,27.79113349,7,2.6486,0
10,2,0,14,31,0,4,13,8,0.45936197,65,1.0,0,0.819199661,0.261102075,1,2,18.180165184,6,0.9244,2
6,1,0,10,21,2,2,8,5,0.404130654,233,1.0,0,4.7694e-05,0.595713113,0,0,29.434290594,7,3.3674,0
5,1,0,11,27,1,7,8,4,0.550256216,151,1.0,0,0.0,0.606778524,0,0,32.712418045,5,3.5542,2
14,1,0,14,27,13,6,7,14,0.911532026,195,1.0,2,0.021528773,0.377399266,0,0,9.658132162,10,1.5386,1
7,1,4,23,32,13,18,5,5,0.518710017,208,0.96257815,0,3.7184e-05,0.400694548,0,0,30.043950344,4,2.5976,2
3,1,0,13,27,3,0,13,3,1.921909263,128,0.0,0,0.778688969,0.555555556,0,0,48.612269883,8,3.3274,0
9,1,0,21,71,67,8,12,9,0.37256446,547,0.982224703,0,0.0,0.264958513,0,0,48.534705095,12,0.7405,2
5,2,0,7,19,10,1,10,1,1.123164633,26,1.0,0,0.588674054,0.506321301,1,2,44.64370221,4,1.1512,0
2,3,0,10,15,1,2,8,1,2.0,123,0.006673778,0,0.96854183,0.734818967,2,5,53.47894577,9,3.7058,1
